coin,danmaku,favorite,id,like,rank_num,reply,score,share,view,genre
522971,96803,372011,86166048,588192,10,14456,4848230,61565,8364615,动画
204843,22556,94453,88685477,300021,1,26412,3325270,24515,2975818,娱乐
305226,18728,246989,88367907,441265,4,8065,5226273,80272,5110602,影视
391519,27152,291007,92267391,444788,1,11636,7805985,38761,3526264,数码
81728,116538,574846,61420738,148084,7,18989,5709333,112854,7671324,时尚
435913,35692,185492,88765578,497248,4,7369,5783802,51991,4298936,游戏
433173,38552,241770,85565504,489541,12,16141,5758115,99736,5120348,生活
351241,32698,221566,87002798,335173,4,11417,5340206,88337,2793027,科技
421096,79551,264636,89681034,551043,4,29396,6254696,177372,6002258,音乐
468750,55537,272879,87598182,596211,6,11143,6228730,169498,6046833,鬼畜
